"Date","Region","Total confirmed cases","Population Incidence Ratio","ICU cases","Total deaths"
"2020-03-04","Andalucía",13,0.15,1,0
"2020-03-04","Aragón",0,0.0,0,0
"2020-03-04","Asturias",2,0.2,1,0
"2020-03-04","Baleares",5,0.43,0,0
"2020-03-04","Canarias",7,0.33,0,0
"2020-03-04","Cantabria",10,1.72,0,0
"2020-03-04","Castilla La Mancha",12,0.59,1,0
"2020-03-04","Castilla y León",11,0.46,1,0
"2020-03-04","Cataluña",15,0.2,0,0
"2020-03-04","Ceuta",0,0.0,0,0
"2020-03-04","Comunidad Valenciana",19,0.38,0,1
"2020-03-04","Extremadura",6,0.56,0,0
"2020-03-04","Galicia",1,0.04,0,0
"2020-03-04","Madrid",70,1.05,2,0
"2020-03-04","Melilla",0,0.0,0,0
"2020-03-04","Murcia",0,0.0,0,0
"2020-03-04","Navarra",3,0.46,1,0
"2020-03-04","País Vasco",17,0.77,0,0
"2020-03-04","La Rioja",7,2.21,0,0
