"Date","Region","Total confirmed cases","Population Incidence Ratio","ICU cases","Total deaths"
"2020-03-07","Andalucía",54,0.64,1,0
"2020-03-07","Aragón",13,0.99,1,1
"2020-03-07","Asturias",7,0.68,2,0
"2020-03-07","Baleares",11,0.96,0,0
"2020-03-07","Canarias",22,1.02,0,0
"2020-03-07","Cantabria",12,2.07,0,0
"2020-03-07","Castilla La Mancha",26,1.28,2,0
"2020-03-07","Castilla y León",23,0.96,1,0
"2020-03-07","Cataluña",75,0.98,0,1
"2020-03-07","Ceuta",0,0.0,0,0
"2020-03-07","C. Valenciana",37,0.74,1,1
"2020-03-07","Extremadura",7,0.66,0,0
"2020-03-07","Galicia",6,0.22,0,0
"2020-03-07","Madrid",469,7.04,53,8
"2020-03-07","Melilla",0,0.0,0,0
"2020-03-07","Murcia",4,0.27,0,0
"2020-03-07","Navarra",3,0.46,1,0
"2020-03-07","País Vasco",149,6.75,5,5
"2020-03-07","La Rioja",81,25.57,1,0
