"Date","Region","Total confirmed cases","Population Incidence Ratio","ICU cases","Total deaths"
"2020-03-17","Andalucía",683,7.97,13,11
"2020-03-17","Aragón",207,15.69,9,12
"2020-03-17","Asturias",193,18.77,5,1
"2020-03-17","Baleares",92,7.83,4,1
"2020-03-17","Canarias",148,6.55,13,2
"2020-03-17","Cantabria",58,8.26,2,0
"2020-03-17","Castilla La Mancha",567,27.55,23,17
"2020-03-17","Castilla y León",431,17.63,24,12
"2020-03-17","Cataluña",1394,17.97,33,18
"2020-03-17","Ceuta",1,1.18,0,0
"2020-03-17","C. Valenciana",541,10.51,27,13
"2020-03-17","Extremadura",153,13.77,2,3
"2020-03-17","Galicia",292,10.82,9,3
"2020-03-17","Madrid",4871,72.37,340,355
"2020-03-17","Melilla",17,19.66,0,0
"2020-03-17","Murcia",97,6.49,3,0
"2020-03-17","Navarra",313,47.69,10,2
"2020-03-17","País Vasco",765,34.06,33,36
"2020-03-17","La Rioja",355,111.11,13,5
