"Date","Region","Total confirmed cases","Population Incidence Ratio","Total ICU cases","Total deaths"
"2020-03-11","Andalucía",90,1.07,3,0
"2020-03-11","Aragón",45,3.41,3,4
"2020-03-11","Asturias",32,3.13,2,0
"2020-03-11","Baleares",16,1.39,1,0
"2020-03-11","Canarias",37,1.49,1,0
"2020-03-11","Cantabria",12,2.07,0,0
"2020-03-11","Castilla La Mancha",71,3.49,5,0
"2020-03-11","Castilla y León",71,2.96,2,0
"2020-03-11","Cataluña",156,2.02,0,3
"2020-03-11","Ceuta",0,0.0,0,0
"2020-03-11","Comunidad Valenciana",65,1.28,1,1
"2020-03-11","Extremadura",9,0.84,1,0
"2020-03-11","Galicia",39,1.44,2,0
"2020-03-11","Madrid",1024,15.34,102,31
"2020-03-11","Melilla",0,0.0,0,0
"2020-03-11","Murcia",11,0.74,0,0
"2020-03-11","Navarra",46,7.03,3,0
"2020-03-11","País Vasco",225,10.19,15,6
"2020-03-11","La Rioja",179,56.5,1,2
