"Date","Region","Total confirmed cases","Population Incidence Ratio","ICU cases","Total deaths"
"2020-03-18","Andalucía",859,10.07,21,19
"2020-03-18","Aragón",226,17.13,9,13
"2020-03-18","Asturias",242,23.46,5,1
"2020-03-18","Baleares",112,9.31,4,1
"2020-03-18","Canarias",181,8.08,17,3
"2020-03-18","Cantabria",68,9.98,3,1
"2020-03-18","Castilla La Mancha",675,32.61,29,28
"2020-03-18","Castilla y León",668,27.38,43,22
"2020-03-18","Cataluña",1866,24.12,33,41
"2020-03-18","Ceuta",1,1.18,0,0
"2020-03-18","Comunidad Valenciana",726,14.13,40,22
"2020-03-18","Extremadura",194,17.61,3,6
"2020-03-18","Galicia",341,12.59,12,3
"2020-03-18","Madrid",5637,83.55,491,390
"2020-03-18","Melilla",20,23.12,0,0
"2020-03-18","Murcia",122,8.17,4,0
"2020-03-18","Navarra",386,58.54,10,3
"2020-03-18","País Vasco",973,43.3,37,40
"2020-03-18","La Rioja",419,130.05,13,5
